0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:58 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:32:59 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:23 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:23 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:23 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:23 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:24 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:24 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:24 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:24 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:27 +0530] "GET /collabrationFront/sign-in.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:31 +0530] "GET /collabrationFront/add%20blog.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:33:34 +0530] "GET /collabrationFront/register.html HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:24 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:24 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:24 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:24 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:25 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:25 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:25 +0530] "GET /collabrationFront/assets/images/slid2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:25 +0530] "GET /collabrationFront/assets/images/slid3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:26 +0530] "GET /collabrationFront/addBlog.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:30 +0530] "GET /collabrationFront/ HTTP/1.1" 200 3912
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:43 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:37:55 +0530] "GET /collabrationFront/sign%20in.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:49 +0530] "GET /collabrationFront/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:49 +0530] "GET /collabrationFront/assets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:49 +0530] "GET /collabrationFront/assets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:49 +0530] "GET /collabrationFront/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:50 +0530] "GET /collabrationFront/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jun/2018:11:40:50 +0530] "GET /collabrationFront/assets/images/slid1.jpeg HTTP/1.1" 304 -
